title,category
 주식 초고수는 지금  윤석열 테마  대원전선  소형 원자로 기대  한전산업 사들여,Economic
발표  년 됐는데 잠자는 법안 재건축  년 의무거주 어찌되나,Economic
 증시이슈  팬오션    상승 BDI 반등 따라 주가 강세,Economic
 속보  이베이코리아 인수 우선협상대상자  신세계 네이버  선정,Economic
 현장연결  중대본  백신  차 접종 누적      만     명       ,Economic
 속보  정용진  이베이 품었다   신세계그룹  이커머스  위로 점프,Economic
택배 사  분류인력 추석까지 최대     명 투입 탄력근로 적용  가닥,Economic
  비트코인 채굴 막자 풍선효과 전기료 싼   텍사스 부상,Economic
중기중앙회  구직자도 최저임금 인상 반대   근로시간 단축 등 우려 ,Economic
   대책 분양권 기준일  이달 말로 늦춰질듯  월 월 국회 통과일,Economic
우주산업계서 주목받는 선박 안테나  위 업체 인텔리안테크,Economic
파세코  폴더블 써큘레이터   무더위 카운트다운에 판매수량      증가,Economic
LG생활건강  백신 접종 확대 기대감에   대 상승,Economic
 BTS가 Break The Stress   막나가는   동남아 짝퉁 마케팅,Economic
   헤지펀드들 향후  년간 가상화폐 비중 확대 ,Economic
우정본부  우체국택배  민간택배보다 적게 일하고 더 번다 ,Economic
크래프톤 IPO  기업가치   조  최대  조 끌어온다,Economic
종로구    인 가구 직주근접 아파트  신설동역 에비뉴 청계    본격 분양,Economic
한투증권  사모펀드  원금       파격 배상 금감원 중징계 피할까,Economic
  민간재개발 규제 완화에 공공재개발  인센티브 확대 필요 ,Economic
    주택공급대책  개 법안 국토위 소위 통과,Economic
 누구 벨소리가 클까   통신 라이벌  몸값 경쟁,Economic
쿠캣     억원 규모 투자 유치하며 글로벌 확장 나선다,Economic
용진이형  새벽 취중 인스타그램     L 와인 과용해서 미안하다 ,Economic
애견미용실에 CCTV 의무화 댕댕이 미용 스트레스 고민 덜어,Economic
순이자마진 개선 예고된 은행권 배당성향     약속,Economic
케이엠제약   이마트    에 치약 공급,Economic
코스피     선도 돌파 코스닥은 다시 천스닥,Economic
 광주 붕괴사고 재발방지  철거공사장에 상주 감리원 배치,Economic
 적금 하나로 모든 우대금리 적용  신한은행  연       알 쏠 적금  출시,Economic
코인의 역습 한밤  기습 상장폐지  행렬에 투자자 대혼란,Economic
문 대통령 환대 스페인 국왕 롤스로이스 기마대 의전 황금열쇠 선물도,Economic
미국 점포 매출 비례 임대료  자영업 새 표준 되나,Economic
모더나 접종의 시간 삼성바이오도  생산 최대한 당긴다 ,Economic
 속보 신세계 네이버 연합군  이베이코리아 인수한다,Economic
 활용도 만렙  KB증권 금융투자쿠폰  인기몰이 ,Economic
포시에스  주당     주 배정 무상증자 결정,Economic
   트럭계의 우버  풀 트럭 얼라이언스 뉴욕 상장 초읽기,Economic
 개발되면 돈 벌 수 있다   아파트보다 거래 많아진 빌라시장 불안,Economic
공공개발지  월 일 전 분양한 빌라도 분양권 준다,Economic
직방  기술 앞세워 부동산 중개 진출  골목상권 밥그릇 뺏기  논란,Economic
지역 따라 부동산 가치 천차만별  아파트값 대장주는 어디 ,Economic
방문규 수은 행장 첫 해외  금융수장들 해외경영 재가동,Economic
  인 미만 사업장 주  시간제 계도기간 연장없다  현장 안착 지원 ,Economic
 단독      가구 고덕 단지 적정성검토 탈락 여전히 까다로운 안전진단기준 논란,Economic
한경연  한국  미국 중심 경제블록에 적극 참여해야 ,Economic
은행원 사라진다지만 점포당 인력은  년째      년래최대,Economic
온라인 홈쇼핑 라방 배달앱까지 가세 대한민국 동행세일   일 개최,Economic
  일부터  대한민국 동행세일  어디서 어떻게 하나,Economic
온라인 할인 대폭 늘린  대한민국 동행세일    일부터,Economic
한투증권  라임 옵티머스 외에도 판매책임  개 펀드      보상 종합 ,Economic
아파트는 못 사니 빌라라도 거래량   개월째 우위,Economic
국토부  위험한 해체공사 현장  상주 감리 배치   광주 사고 재발 방지,Economic
 취임  주년 기자간담회  김영식 회계사회장   정도감사 는 양보할 수 없는 원칙 ,Economic
 월부터 주  시간제 전면 시행  추가 계도기간 없다 ,Economic
 특금법 사각지대  섬나라 몰타로 간 코인 P P 거래소  잡코인  몰리나,Economic
LG디스플레이  투명 OLED로 모빌리티 시장 공략 속도낸다,Economic
모바일 알뜰교통카드  월부터 전국 사용,Economic
모바일 알뜰교통카드   월부터 전국에서 사용 가능,Economic
