,title,category
0,저렴하다고  불법 거래  탈모 약  드시겠습니까 ,Culture
1,새벽녘 심한 기침 흡연자라면  이 병 을 의심  생생건강     ,Culture
2,정의선 현대차그룹 회장 자율주행차와 로봇 개발 직접 챙긴다,Culture
3, 마음상담소 Q     대 후반 직장인인데 열정이 없어서 한심해요,Culture
4, 날씨  부산 오후까지 곳곳 빗방울 여름철  운동 후 권장 음식은 ,Culture
5,무릎관절염엔 줄기세포 치료가 특효라는데 ,Culture
6,생존율 낮은 췌장암  대표증상  가지,Culture
7, 영생의 삶  빨간머리  샤큘 의 네번째 귀환,Culture
8, 날씨톡톡   하늘 봐  기분 엄청 좋네  동쪽 중심 비,Culture
9, 즈즈즈 와  세대 K팝 그룹 뭐가 다를까,Culture
10, 조용준의 여행만리 조용히 걷고 가만히 바라보는 그것만으로 충분합니다,Culture
11,현대 전기차 아이오닉   냉각수 소실  문제 발생  자칫 화재로 이어질 가능성,Culture
12,잠 안 올 때 효과적인      호흡법 ,Culture
13,눈이 하얗게 멀면 아름다울까,Culture
14,새해 결심  중간점검할 시간,Culture
15,백석동천 별서의 주인은 누구인가,Culture
16,르노삼성  부산청춘드림카  차 대상자 모집  청년   명에  르노 조에  지원,Culture
17,가장 안전하고 건강하게 물 마시는 법,Culture
18,말기 폐암  수술로 생존율 높인다,Culture
19, 입 냄새 걱정돼  장시간 마스크 착용  구취공포증 유발,Culture
20,항암 치료만 받던  말기 폐암   수술하니 생존율 크게 증가,Culture
21,편지로 전쟁을 종결시킨 왕자  그의 묘책  마음으로 떠나는 그림책 여행 ,Culture
22, 미국 판매 화장품 절반서 발암물질 검출 ,Culture
23,현대차 아이오닉    조립 불량으로 냉각수 누수 발생   화재 위험은 없어,Culture
24, 독서일기 읽기 전 부디 단단히 마음의 준비를 하시길   레지스탕스 사형수들의 마지막 편지 ,Culture
25, 굿모닝 날씨  서쪽 다시 더위  동쪽은 선선 저녁까지 동해안 비,Culture
26,   정의선  자율주행차 타고 로봇기술 체험   미래준비 박차 ,Culture
27, 공감  매일 안 좋아하는 일을 하러 가는 당신에게,Culture
28,젊은 한의사  어르신들에게  고양이 선생 으로 불린 이유,Culture
29,천천히 서둘러라  배연국의 행복한 세상 ,Culture
30, 밀당     당뇨병성 고통  당뇨 환자의  마음 에 주목할 때,Culture
31,코로나 신규 확진    명  나흘 만에 다시    명대,Culture
32,국가 지도에 장난 낙서한 스위스 공무원    년 만에 들통,Culture
33,정의선 현대차그룹 회장  미국 자율주행 합작법인  모셔널  방문,Culture
34,정의선 현대차 회장    모셔널 보스턴다이나믹스 방문,Culture
35,호주 대륙에서 가장 먼저 일출을 볼 수 있는 전망대,Culture
36, 미스 백제  만나러 가는 길,Culture
37,정의선 회장    보스턴으로 간 이유 자율주행기업  모셔널  방문,Culture
38,현대바이오  먹는 코로나 치료제 대량생산체제 확보,Culture
39,말기 폐암 환자도 수술하니  생존율 상승 확인 ,Culture
40,야간저혈당 예방하려면  식간 황혼현상 왜 생길까  밀당   에서 알아보세요,Culture
41,보리밥 먹고 생긴 몸의 변화   먹으면 안 되는 사람은 ,Culture
42, 레알시승기 K 의 변화는 파격 대신  젊은 웅장함 ,Culture
43,정의선 현대차 회장   모셔널 보스턴 다이내믹스 방문,Culture
44, 나를 찾아줘  리사 베인스  뺑소니 사고로 사망 향년   세,Culture
45, 장르물 전성시대 검은 미래의 달까지 얼마나 걸릴까 ,Culture
46, 만화로 본 세상 사춘기 과거의 여성상을 파괴한 순정만화,Culture
47, 시네프리뷰 여고괴담 여섯 번째 이야기  모교,Culture
48, 방구석 극장전 리얼 로봇물의 창세  건담  시리즈가 온다,Culture
49, 문화프리뷰 부재하는 이에 대한 애도의 방식,Culture
50,호주 사람들이 캐러밴 여행을 즐기는 이유,Culture
51,오랜만에 러닝 등산  너무 무리했다 싶을 땐 ,Culture
52,피순대 먹을 때 이것 섞으면 훨씬 맛있습니다,Culture
53,약해진 잇몸 걱정이라면   콜라겐  챙겨보세요,Culture
54,건강    세를 위해  잘 걸을 준비가 필요하다    세 제주도 할아버지의 무지외반증 수술 이야기,Culture
55,기아  유럽 우버 유럽에 전기차  니로EV  공급     개 국가 투입,Culture
56, 사장님  딱지  뗀 젊어진 기아 플래그십  더 뉴 K   직접 보니 영상 ,Culture
57,백제 유민부터 전라도 민초들이 메시아를 기다린 곳,Culture
58,환자 절반이      대   난소암 증상 빨리 아는 방법은 ,Culture
59,임플란트 시장 코로나   직격탄에도  세계  위  스트라우만 은 굳건했다,Culture
