,Unnamed: 0,0,category
0,0,미·러 정상회담 하루 전···등장한 '가짜 푸틴'은 누구,World
1,1,강에 빠진 여동생 구한 美 10살 소년… 차가운 시신으로 발견,World
2,2,"도쿄올림픽, 코로나·폭염으로 사망하면 '본인 책임' 동의서 받는다",World
3,3,G7 보란 듯 '中 군용기' 28대 대만 방공식별구역 무더기 진입,World
4,4,"[단독] 주 가나 한국대사관 ""인육 케밥? 파악 결과 사실 아냐""",World
5,5,"남편은 딸 성폭행·살해, 아내는 딸 생존 위장···英부부의 '위험한 동맹'",World
6,6,이웃간 언쟁에 ‘탕탕’…美 가정집 총기난사로 8명 사상,World
7,7,中 우한 대학 졸업식 1만명 빽빽 웃음꽃…마스크·거리두기는 옛말,World
8,8,"'코로나 봉쇄' 말레이시아 ""11월 돼야 정상화 예상""",World
9,9,"미 법원, 바이든 '연방토지 시추 임대 금지'에 제동",World
10,10,"“여러분, 마스크를 벗어야 신뢰를 쌓을 수 있습니다”",World
11,11,"""중국·러시아, 전략·군사적 관계 강화할 수밖에 없어""",World
12,12,최대도시 양곤 코로나 폭증에 변이 바이러스까지…미얀마 '위태',World
13,13,지구촌 독재자 뒤에 中·러시아 있다,World
14,14,"니콜라 때린 힌덴버그, 스포츠베팅 드래프트킹스 공매도",World
15,15,"日, 고양이 동거 주택 인기",World
16,16,"中, 미ㆍ러 정상회담은 바이든의 '헛수고'",World
17,17,"G7 '대만해협 긴장 반대'에…中, 사상최대 규모 무력시위",World
18,18,[여기는 호주] 홍수 후 생긴 거대한 거미줄…알고보니 자연의 경이로움,World
19,19,미국 보고 있나…중국 '상하이협력기구' 내세워 맞대응,World
20,20,미·러 정상회담 하루 전···등장한 '가짜 푸틴'은 누구,World
21,21,"10세 미국 소년, 강에 빠진 여동생 구하고 숨져",World
22,22,"거친 장외전 펼친 바이든-푸틴, 첫 회담서 어떤 이야기 나눌까(종합)",World
23,23,"“GM, 전기차 투자 30%늘려 39조원…美 신규 배터리 공장 2개 추가”",World
24,24,'백신의 힘' 미국 곳곳 경제 재개…팬데믹 15개월만에 정상화(종합2보),World
25,25,해변 아수라장 만들며 난투극 벌인 남자들… 현상수배돼,World
26,26,종업원 '팁' 슬쩍·음식 다 먹고 환불요구·음료수 무한 드링킹…영국 최고 진상부부,World
27,27,아시아계 또 당했다…자전거 타고 가다 흉기 피습,World
28,28,"[김지수의 글로벌브리핑] 캘리포니아·뉴욕, 규제 대폭 해제…伊, 교차접종 혼란 外",World
29,29,피로 물든 멕시코 선거,World
30,30,[여기는 남미] 에콰도르 교도소서 또 폭동…패권 경쟁에 탈옥 시도,World
31,31,"미국 시카고서 총격전, 사상자 8명 발생… 말다툼서 번져",World
32,32,제네바에 등장한 가짜 푸틴…미러 정상회담 앞두고 항의시위,World
33,33,"바이든, '상습 지각' 푸틴 안 기다린다…""4~5시간 회담 전망""",World
34,34,"이스라엘, 가자지구 하마스 기지 공습…""폭탄 풍선 보복"" (종합)",World
35,35,"미 ""국내 폭력적 극단주의 테러 심각""…범정부 대응전략 공개",World
36,36,"美공화당, 코로나 영웅 '파우치 해고법' 발의…이유는?",World
37,37,"AZ 항체 치료제, 3상 시험서 ""유의미한 효과 없었다""",World
38,38,"53세女, 다 벗고 장화만 신은 채 잔디 손질…""폰 떨어뜨릴 뻔""",World
