,title,category
0,송영길  2차 추경  맞춤형 지원 재난지원금 신용카드 캐시백 3종 ,Politics
1,민주 송영길 첫 국회 연설  국민의 시간  강조 추경 청년 부동산 강조,Politics
2,송영길  2차 추경으로 소상공인 피해 보상 전국민 재난지원금 추진 ,Politics
3,7 9월 신용카드 사용액 많으면 캐시백,Politics
4,8월 16일  빨간 날  될 듯     대체공휴일 확대법 신속히 처리 ,Politics
5,사라진 빨간 날 진짜 돌아오나 3일  4일  올해 며칠 더 쉴까,Politics
6,   대체공휴일법 6월 처리 광복절부터 시행 ,Politics
7, 영상  사라진  빨간 날  돌아올까,Politics
8,김근식   MZ 글씨  공감 못하고  배 아파 시비  민경욱  내 배가 왜 아파 ,Politics
9, 대통령 된 줄  이준석 방명록 저격한 민경욱,Politics
10,김근식  이준석 인기 배 아프냐  꼰대 심보  민경욱  문장 허술 ,Politics
11,민경욱  이준석 문장 어딘가 모자라  vs 김근식  MZ세대 공감못하는 꼰대 ,Politics
12,송영길  국민을 위한 검찰개혁 추진   지방검사장직 외부 개방 ,Politics
13,교섭단체 연설서 송영길  검찰청 수사 인력 조정해야 ,Politics
14,송영길  검찰개혁 뿌리내리도록 최선 지방검사장 외부 개방 ,Politics
15,송영길  검찰개혁 추진      옴부즈맨 제도  도입할 것 ,Politics
16,윤석열 측  6월말 정치참여 선언 검토 ,Politics
17,윤석열  6월말  정치 개시  선언할 듯  이준석 시간표와 상충 안해 ,Politics
18,송영길  재생에너지로 탄소중립 어려워   원전  에너지 믹스  불가피    원전  전환 시사,Politics
19, 현장영상  송영길   누구나집  통해 거짓말 같은 일 현실로 나타날 것 ,Politics
20,이준석 안철수 내일 회동 신설합당 등 암초에 벌써 신경전 종합 ,Politics
21,이태규  정권교체 버스 꼭 2번만 있는 건 아냐 ,Politics
22,김정은  노동당 전원회의 주재  국제정세 대응  논의 예정,Politics
23,김정은  당 전원회의 주재    국제 정세 대응방향  예고,Politics
24,송영길  부동산 내로남불 반성 친문도 직격  당심 민심 괴리 ,Politics
25,여야정 상설협의체 재가동되나   송영길  새로운 변화의 시작 ,Politics
26,백신 임상 3상 발표 앞둔   큐어백  한국  협력 여지 많아 ,Politics
27,문대통령  큐어백 CEO에  아시아 생산거점을 한국으로  종합 ,Politics
28,이재명  이준석 수술실 CCTV 입장에  블랙박스 있다고 소극운전하나 ,Politics
29,수술실 CCTV 설치법 놓고 이재명 이준석 공방,Politics
30,스페인 국왕  마드리드 왕궁에서  대통령 환영,Politics
31,문 대통령  한국 스페인  미래 공동과제 협력 기대 ,Politics
32,송영길  오늘 국회 대표연설 부동산 등 미래비전 제시,Politics
33,송영길  내일 교섭단체 연설서  중수청 설치  언급 않는다,Politics
34, 김총리  새 거리두기 방안  방역 일상에 큰 변화 될 것  현장연결 ,Politics
35,김 총리  새 거리두기 방안  방역 일상에 큰 변화 될 것 ,Politics
36,윤석열 측    생각 가장 잘 드러난 것은   취임사 ,Politics
37,윤석열 측  6말 7초 정치 선언 김종인  함께하리라 믿는다 ,Politics
38,현충원 참배 마친 이준석  봉하마을   전 대통령도 찾아뵙겠다 ,Politics
39,이준석  서울현충원 참배    전 대통령 봉하마을도 찾아뵙겠다 ,Politics
40, 서해수호 생존 장병들은 아직도 고통 속에 산다   여의도 브리핑 ,Politics
41, 이준석 대표는  입법 바리케이트 를 철거하라   여의도 브리핑 ,Politics
42, 안전 때문에 눈물짓는 국민 없게 만든다더니   여의도 브리핑 ,Politics
43, 부동산 투기 전수조사 피하는    두려운가    여의도 브리핑 ,Politics
44,  대사  후쿠시마 원전 오염수  과학 문제로 취급해야 ,Economic
45,허창수 전경련 회장  한일관계 악화로 양국 경제 피해 커 ,Economic
46,허창수 전경련 회장  한일관계  갈등 벗어나 미래 향해 나아가야 ,Economic
47,기업인     입국제한 힘들다  호소에  대사  왕래 재개 위해 노력할 것 ,Economic
48,이재명  권투 씨름 체급 따라 승부 겨뤄    교섭권보장법 발의 환영 ,Economic
49,이재명  중기협동조합 교섭권 보장법 제값받기 위한 실질적 공정 ,Economic
50,대기업과 거래 시 중기협동조합  공동행위  허용 추진,Economic
51,원자재값 올라도 아무말 못하는      제값받기  절실 ,Economic
